Survived,Pclass,Sex,Age,SibSp,Parch,Fare,FamilySize,Embarked_Q,Embarked_S
0,3,1,-0.5510595194824087,1,0,-0.8462180002516918,0.0330656452941511,False,True
1,1,0,0.6119446643175359,1,0,1.9550924255913968,0.0330656452941511,False,False
1,3,0,-0.26030847353242254,0,0,-0.8166882940293968,-0.6240080752947493,False,True
1,1,0,0.3938813798550463,1,0,1.1596146372182752,0.0330656452941511,False,True
0,3,1,0.3938813798550463,0,0,-0.811219829914157,-0.6240080752947493,False,True
0,3,1,-0.11493295055742946,0,0,-0.7933576387281377,-0.6240080752947493,True,False
0,1,1,1.7749488481174804,0,0,1.1054768424774006,-0.6240080752947493,False,True
0,3,1,-2.0048147492323394,3,1,-0.24140586910616751,2.0042868070608524,False,True
1,3,0,-0.18762071204492597,0,2,-0.6763325066620054,0.6901393658830515,False,True
1,2,0,-1.1325616113823809,1,0,0.15213980679682762,0.0330656452941511,False,False
1,3,0,-1.8594392262573463,1,1,-0.4328021131395613,0.6901393658830515,False,True
1,1,0,2.0656998940674667,0,0,-0.001887140858663212,-0.6240080752947493,False,True
0,3,1,-0.6964350424574017,0,0,-0.811219829914157,-0.6240080752947493,False,True
0,3,1,0.6846324258050325,1,5,0.204820802697402,3.3184342482386535,False,True
0,3,0,-1.1325616113823809,0,0,-0.8197856321042687,-0.6240080752947493,False,True
1,2,0,1.847636609604977,0,0,-0.46342551218490424,-0.6240080752947493,False,True
0,3,1,-2.0048147492323394,4,1,0.1107632199152771,2.661360527649753,True,False
1,2,1,-0.11493295055742946,0,0,-0.59466865095066,-0.6240080752947493,False,True
0,3,0,0.10313033390506016,1,0,-0.3759300863410671,0.0330656452941511,False,True
1,3,0,-0.11493295055742946,0,0,-0.8473116930747399,-0.6240080752947493,False,False
0,2,1,0.3938813798550463,0,0,-0.025948382965718463,-0.6240080752947493,False,True
1,2,1,0.3211936183675498,0,0,-0.59466865095066,-0.6240080752947493,False,True
1,3,0,-1.0598738498948845,0,0,-0.8121297823429329,-0.6240080752947493,True,False
1,1,1,-0.11493295055742946,0,0,0.38965488979250806,-0.6240080752947493,False,True
0,3,0,-1.5686881803073602,3,1,-0.24140586910616751,2.0042868070608524,False,True
1,3,0,0.6119446643175359,1,5,0.20974242040111785,3.3184342482386535,False,True
0,3,1,-0.11493295055742946,0,0,-0.8473116930747399,-0.6240080752947493,False,False
0,1,1,-0.7691228039448983,3,2,2.0485572268634304,2.661360527649753,False,True
1,3,0,-0.11493295055742946,0,0,-0.8186919392812206,-0.6240080752947493,True,False
0,3,1,-0.11493295055742946,0,0,-0.8179657272467168,-0.6240080752947493,False,True
0,1,1,0.757320187292529,0,0,0.049332681430319054,-0.6240080752947493,False,False
1,1,0,-0.11493295055742946,1,0,2.0485572268634304,0.0330656452941511,False,False
1,3,0,-0.11493295055742946,0,0,-0.8243441437907325,-0.6240080752947493,True,False
0,2,1,2.647201985967439,0,0,-0.7040379332554565,-0.6240080752947493,False,True
0,1,1,-0.11493295055742946,1,0,2.0485572268634304,0.0330656452941511,False,False
0,1,1,0.902695710267522,1,0,1.1114921530041646,0.0330656452941511,False,True
